"elemento_grafo";"ci";"cj";"ck";"cl";"cm";"mean_absolute_error"
"A10";0;2;2;0;1;0.263125
"A10";0;2;2;0;2;0.276837
"A10";0;2;2;1;0;0.569336
"A10";0;2;2;1;1;0.586537
"A10";0;2;2;1;2;0.591571
"A10";0;2;2;2;0;1.09155
"A10";0;2;2;2;1;1.09564
"A10";0;2;2;2;2;1.08616
"A10";1;0;0;0;0;0.359366
"A10";1;0;0;0;1;0.374867
"A10";1;0;0;0;2;0.393849
"A10";1;0;0;1;0;0.669587
"A10";1;0;0;1;1;0.683872
"A10";1;0;0;1;2;0.718948
"A10";1;0;0;2;0;1.36263
"A10";1;0;0;2;1;1.48383
"A10";1;0;0;2;2;1.7295
"A10";1;0;1;0;0;0.688789
"A10";1;0;1;0;1;0.721314
"A10";1;0;1;0;2;0.930735
"A10";1;0;1;1;0;0.806107
"A10";1;0;1;1;1;0.822971
"A10";1;0;1;1;2;0.895581
"A10";1;0;1;2;0;1.27196
"A10";1;0;1;2;1;1.29314
"A10";1;0;1;2;2;1.39286
"A10";1;0;2;0;0;0.538768
"A10";1;0;2;0;1;0.595378
"A10";1;0;2;0;2;0.653674
"A10";1;0;2;1;0;0.816452
"A10";1;0;2;1;1;0.827047
"A10";1;0;2;1;2;0.872674
"A10";1;0;2;2;0;1.45029
"A10";1;0;2;2;1;1.52486
"A10";1;0;2;2;2;1.69656
"A10";1;1;0;0;0;0.519761
"A10";1;1;0;0;1;0.519193
"A10";1;1;0;0;2;0.676706
"A10";1;1;0;1;0;0.868903
"A10";1;1;0;1;1;0.964701
"A10";1;1;0;1;2;1.06189
"A10";1;1;0;2;0;1.49664
"A10";1;1;0;2;1;1.61995
"A10";1;1;0;2;2;1.89813
"A10";1;1;1;0;0;0.796193
"A10";1;1;1;0;1;0.832286
"A10";1;1;1;0;2;1.00896
"A10";1;1;1;1;0;1.03781
"A10";1;1;1;1;1;1.10045
"A10";1;1;1;1;2;1.26782
"A10";1;1;1;2;0;1.43701
"A10";1;1;1;2;1;1.44871
"A10";1;1;1;2;2;1.55587
"A10";1;1;2;0;0;0.817106
"A10";1;1;2;0;1;0.791344
"A10";1;1;2;0;2;0.860111
"A10";1;1;2;1;0;1.18701
"A10";1;1;2;1;1;1.22645
"A10";1;1;2;1;2;1.37807
"A10";1;1;2;2;0;1.68175
"A10";1;1;2;2;1;1.57428
"A10";1;1;2;2;2;1.67623
"A10";1;2;0;0;0;0.640426
"A10";1;2;0;0;1;0.593564
"A10";1;2;0;0;2;0.794226
"A10";1;2;0;1;0;0.866506
"A10";1;2;0;1;1;0.873856
"A10";1;2;0;1;2;0.956997
"A10";1;2;0;2;0;1.42787
"A10";1;2;0;2;1;1.47969
"A10";1;2;0;2;2;1.6749
"A10";1;2;1;0;0;0.594449
"A10";1;2;1;0;1;0.604976
"A10";1;2;1;0;2;0.666125
"A10";1;2;1;1;0;1.32048
"A10";1;2;1;1;1;1.35305
"A10";1;2;1;1;2;1.74281
"A10";1;2;1;2;0;1.39283
"A10";1;2;1;2;1;1.3983
"A10";1;2;1;2;2;1.52045
"A10";1;2;2;0;0;1.09979
"A10";1;2;2;0;1;1.36837
"A10";1;2;2;0;2;1.53572
"A10";1;2;2;1;0;1.05129
"A10";1;2;2;1;1;1.05523
"A10";1;2;2;1;2;1.12202
"A10";1;2;2;2;0;1.74879
"A10";1;2;2;2;1;1.80881
"A10";1;2;2;2;2;1.92727
"A10";2;0;0;0;0;0.581791
"A10";2;0;0;0;1;0.58261
"A10";2;0;0;0;2;0.706303
"A10";2;0;0;1;0;0.772736
"A10";2;0;0;1;1;0.805638
"A10";2;0;0;1;2;0.875236
"A10";2;0;0;2;0;1.62878
"A10";2;0;0;2;1;1.85107
"A10";2;0;0;2;2;1.8476
"A10";2;0;1;0;0;0.721781
"A10";2;0;1;0;1;0.713419
"A10";2;0;1;0;2;0.907407
"A10";2;0;1;1;0;0.955131
"A10";2;0;1;1;1;0.95782
"A10";2;0;1;1;2;1.08382
"A10";2;0;1;2;0;1.52531
"A10";2;0;1;2;1;1.56178
"A10";2;0;1;2;2;1.67425
"A10";2;0;2;0;0;0.677018
"A10";2;0;2;0;1;0.72512
"A10";2;0;2;0;2;0.761854
"A10";2;0;2;1;0;1.37628
"A10";2;0;2;1;1;1.45003
"A10";2;0;2;1;2;2.00669
"A10";2;0;2;2;0;2.11817
"A10";2;0;2;2;1;2.01735
"A10";2;0;2;2;2;2.14111
"A10";2;1;0;0;0;0.784108
"A10";2;1;0;0;1;0.746103
"A10";2;1;0;0;2;0.773313
"A10";2;1;0;1;0;1.0303
"A10";2;1;0;1;1;1.03157
"A10";2;1;0;1;2;1.08321
"A10";2;1;0;2;0;1.52928
"A10";2;1;0;2;1;1.53623
"A10";2;1;0;2;2;1.77768
"A10";2;1;1;0;0;0.901739
"A10";2;1;1;0;1;0.941034
"A10";2;1;1;0;2;0.92123
"A10";2;1;1;1;0;1.29362
"A10";2;1;1;1;1;1.30233
"A10";2;1;1;1;2;1.52213
"A10";2;1;1;2;0;1.86676
"A10";2;1;1;2;1;1.89577
"A10";2;1;1;2;2;1.97577
"A10";2;1;2;0;0;1.83392
"A10";2;1;2;0;1;1.97335
"A10";2;1;2;0;2;2.12162
"A10";2;1;2;1;0;1.77674
"A10";2;1;2;1;1;1.92751
"A10";2;1;2;1;2;1.95866
"A10";2;1;2;2;0;2.31744
"A10";2;1;2;2;1;2.37552
"A10";2;1;2;2;2;2.61573
"A10";2;2;0;0;0;1.13091
"A10";2;2;0;0;1;1.156
"A10";2;2;0;0;2;1.38384
"A10";2;2;0;1;0;1.27688
"A10";2;2;0;1;1;1.3038
"A10";2;2;0;1;2;1.40466
"A10";2;2;0;2;0;2.13755
"A10";2;2;0;2;1;2.07098
"A10";2;2;0;2;2;2.17427
"A10";2;2;1;0;0;1.34913
"A10";2;2;1;0;1;1.28704
"A10";2;2;1;0;2;1.74189
"A10";2;2;1;1;0;2.37516
"A10";2;2;1;1;1;2.44823
"A10";2;2;1;1;2;2.45917
"A10";2;2;1;2;0;1.7632
"A10";2;2;1;2;1;1.72171
"A10";2;2;1;2;2;1.82265
"A10";2;2;2;0;0;2.1293
"A10";2;2;2;0;1;2.26182
"A10";2;2;2;0;2;2.48867
"A10";2;2;2;1;0;2.25178
"A10";2;2;2;1;1;2.21723
"A10";2;2;2;1;2;2.43912
"A10";2;2;2;2;0;2.03395
"A10";2;2;2;2;1;2.01916
"A10";2;2;2;2;2;2.14663
"A11";0;0;0;0;0;0.211735
"A11";0;0;0;0;1;0.212282
"A11";0;0;0;0;2;0.210651
"A11";0;0;0;1;0;0.540264
"A11";0;0;0;1;1;0.539512
"A11";0;0;0;1;2;0.532591
"A11";0;0;0;2;0;1.05285
"A11";0;0;0;2;1;1.0506
"A11";0;0;0;2;2;1.04103
"A11";0;0;1;0;0;0.215146
"A11";0;0;1;0;1;0.213514
"A11";0;0;1;0;2;0.211352
"A11";0;0;1;1;0;0.539115
"A11";0;0;1;1;1;0.528518
"A11";0;0;1;1;2;0.520817
"A11";0;0;1;2;0;1.08114
"A11";0;0;1;2;1;1.06261
"A11";0;0;1;2;2;1.04573
"A11";0;0;2;0;0;0.217477
"A11";0;0;2;0;1;0.210482
"A11";0;0;2;0;2;0.211802
"A11";0;0;2;1;0;0.535743
"A11";0;0;2;1;1;0.531037
"A11";0;0;2;1;2;0.514498
"A11";0;0;2;2;0;1.06254
"A11";0;0;2;2;1;1.05647
"A11";0;0;2;2;2;1.04775
"A11";0;1;0;0;0;0.23125
"A11";0;1;0;0;1;0.224393
"A11";0;1;0;0;2;0.221236
"A11";0;1;0;1;0;0.538392
"A11";0;1;0;1;1;0.538699
"A11";0;1;0;1;2;0.531479
"A11";0;1;0;2;0;1.08687
"A11";0;1;0;2;1;1.08148
"A11";0;1;0;2;2;1.08915
"A11";0;1;1;0;0;0.227725
"A11";0;1;1;0;1;0.232736
"A11";0;1;1;0;2;0.23205
"A11";0;1;1;1;0;0.566323
"A11";0;1;1;1;1;0.568107
"A11";0;1;1;1;2;0.562786
"A11";0;1;1;2;0;1.1105
"A11";0;1;1;2;1;1.10986
"A11";0;1;1;2;2;1.09651
"A11";0;1;2;0;0;0.298465
"A11";0;1;2;0;1;0.275866
"A11";0;1;2;0;2;0.242875
"A11";0;1;2;1;0;0.571331
"A11";0;1;2;1;1;0.557515
"A11";0;1;2;1;2;0.563747
"A11";0;1;2;2;0;1.12472
"A11";0;1;2;2;1;1.11892
"A11";0;1;2;2;2;1.12054
"A11";0;2;0;0;0;0.237431
"A11";0;2;0;0;1;0.239183
"A11";0;2;0;0;2;0.236312
"A11";0;2;0;1;0;0.557639
"A11";0;2;0;1;1;0.54196
"A11";0;2;0;1;2;0.535856
"A11";0;2;0;2;0;1.0982
"A11";0;2;0;2;1;1.11063
"A11";0;2;0;2;2;1.14251
"A11";0;2;1;0;0;0.251204
"A11";0;2;1;0;1;0.246909
"A11";0;2;1;0;2;0.265772
"A11";0;2;1;1;0;0.585664
"A11";0;2;1;1;1;0.593402
"A11";0;2;1;1;2;0.595256
"A11";0;2;1;2;0;1.12092
"A11";0;2;1;2;1;1.14238
"A11";0;2;1;2;2;1.20003
"A11";0;2;2;0;0;0.261725
"A11";0;2;2;0;1;0.262599
"A11";0;2;2;0;2;0.283502
"A11";0;2;2;1;0;0.57635
"A11";0;2;2;1;1;0.579032
"A11";0;2;2;1;2;0.590893
"A11";0;2;2;2;0;1.09441
